id,region,name
1001,北海道,札幌桑園
1002,北海道,札幌麻生
1003,北海道,札幌栄町
1004,北海道,札幌苗穂
1005,北海道,札幌元町
1006,北海道,札幌平岡
1007,北海道,札幌藻岩
1008,北海道,札幌発寒
1009,北海道,札幌平岸
1010,北海道,札幌清田
1011,北海道,札幌厚別
1012,北海道,札幌西岡
1013,北海道,札幌西町
1014,北海道,札幌琴似
1015,北海道,札幌手稲駅前
1016,北海道,東札幌
1017,北海道,南平岸
1018,北海道,新さっぽろ
1019,北海道,北郷
1020,北海道,湯川
1021,北海道,小樽
1022,北海道,旭川駅前
1023,北海道,旭川永山
1024,北海道,旭川春光
1025,北海道,旭川西
1026,北海道,室蘭
1027,北海道,釧路昭和
1028,北海道,帯広
1029,北海道,北見
1030,北海道,岩見沢
1031,北海道,苫小牧
1032,北海道,江別
1033,北海道,紋別
1034,北海道,名寄
1035,北海道,根室
1036,北海道,千歳
1037,北海道,滝川
1038,北海道,登別
1039,北海道,伊達
1040,北海道,上磯
1041,北海道,余市
1042,北海道,静内
1043,北海道,釧路
1044,北海道,厚岸
2001,青森県,青森
2002,青森県,八戸田向
2003,青森県,S八戸城下
2004,青森県,S八戸沼館
2005,青森県,つがる柏
2006,青森県,藤崎
2007,青森県,七戸十和田駅前
2008,青森県,下田
3001,岩手県,盛岡
3002,岩手県,S盛岡南
3003,岩手県,江釣子
3004,岩手県,一関
3005,岩手県,S江刺
3006,岩手県,S矢巾
3007,岩手県,前沢
4001,宮城県,仙台幸町
4002,宮城県,仙台富沢
4003,宮城県,仙台中山
4004,宮城県,S仙台卸町
4005,宮城県,S仙台上杉
4006,宮城県,仙台宮町
4007,宮城県,仙台一番町
4008,宮城県,仙台晩翠通
4009,宮城県,石巻
4010,宮城県,石巻駅前
4011,宮城県,気仙沼
4012,宮城県,S名取
4013,宮城県,多賀城
4014,宮城県,古川
4015,宮城県,富谷
4016,宮城県,船岡
4017,宮城県,S新利府
5001,秋田県,秋田中央
5002,秋田県,S御所野
5003,秋田県,S山王
5004,秋田県,S茨島
5005,秋田県,S広面
5006,秋田県,能代
5007,秋田県,S能代東
5008,秋田県,横手
5009,秋田県,S本荘
5010,秋田県,大曲
5011,秋田県,中仙
6001,山形県,山形北
6002,山形県,山形南
6003,山形県,米沢
6004,山形県,酒田南
6005,山形県,S天童
6006,山形県,東根
6007,山形県,三川
7001,福島県,福島
7002,福島県,【一閉】郡山フェスタ
7003,福島県,郡山
7004,福島県,郡山食品館
7005,福島県,いわき
7006,福島県,Sいわき小名浜
7007,福島県,白河西郷
7008,福島県,広野
7009,福島県,浪江
7010,福島県,双葉
8001,茨城県,S水戸内原
8002,茨城県,S水戸下市
8003,茨城県,土浦
8004,茨城県,古河
8005,茨城県,下妻
8006,茨城県,高萩
8007,茨城県,笠間
8008,茨城県,Sつくば
8009,茨城県,鹿嶋
8010,茨城県,常陸大宮
8011,茨城県,那珂町
8012,茨城県,東海
9001,栃木県,栃木
9002,栃木県,S佐野新都市
9003,栃木県,日光今市
9004,栃木県,小山
9005,栃木県,みぶ
10001,群馬県,S高崎
10002,群馬県,S高崎駅前
10003,群馬県,太田
11001,埼玉県,浦和美園
11002,埼玉県,大宮
11003,埼玉県,S大宮西口駅前
11004,埼玉県,【一閉】大宮西
11005,埼玉県,【一閉】北浦和
11006,埼玉県,与野
11007,埼玉県,S美園三丁目
